mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07143487930297851,0.017832108488591018,0.13337492942810059,0.018783245384199558,1,1,"{'n_neighbors': 1, 'p': 1}",-402.85934422430773,-424.5028386050284,-404.81853997682504,-419.3203939745075,-430.2954808806489,-416.35931953226356,10.814253408644246,59,-0.3828394310709423,-0.2638973378523218,-0.2766641561902555,-0.4010196396500782,-0.3726319448467644,-0.33941050192207245,0.05731450751620621
0.05423636436462402,0.006089267230833903,0.1889936923980713,0.05189764101443835,1,2,"{'n_neighbors': 1, 'p': 2}",-442.93731896651605,-457.8291043911482,-437.57114716106605,-444.70869061413674,-456.9457705677868,-447.9984063401308,8.023247718240041,60,-0.3828394310709423,-0.2638973378523218,-0.2766641561902555,-0.4010196396500782,-0.3726319448467644,-0.33941050192207245,0.05731450751620621
0.08419394493103027,0.0419822254430051,0.33605432510375977,0.17393308898905646,2,1,"{'n_neighbors': 2, 'p': 1}",-377.01923299733517,-392.09877186884484,-375.05724217844727,-382.6653534183082,-391.3208574739282,-383.6322915873728,7.056831009058339,39,-209.00359201645375,-208.0834564468005,-209.65689994785933,-208.16317131104802,-208.55453044435433,-208.6923300333032,0.5825811302497699
0.12967028617858886,0.01341874704544331,0.5429844379425048,0.059549514959854825,2,2,"{'n_neighbors': 2, 'p': 2}",-406.37006140655774,-424.03203568532035,-400.15417149478566,-411.235573580533,-416.78487833140207,-411.71534409971974,8.244561938186651,58,-224.8896613655456,-224.5704933229049,-225.45216094084932,-226.1626499044088,-224.7476536701234,-225.16452384076644,0.5798608653588548
0.12839202880859374,0.014551722623377544,0.5662712097167969,0.0704914907703052,3,1,"{'n_neighbors': 3, 'p': 1}",-362.17058664503924,-376.7788205306453,-369.7163769795288,-364.452336809579,-372.7264580919274,-369.16891581134394,5.330838569033873,28,-257.36718712281413,-253.44575765476088,-255.74908753838133,-256.6687233261881,-253.48411640886005,-255.3429744102009,1.6170812999535948
0.14782934188842772,0.015857496042959433,0.6609848499298095,0.05971616355519514,3,2,"{'n_neighbors': 3, 'p': 2}",-390.188390684741,-408.78098327733363,-387.3118578601776,-394.5685592893009,-403.546156817304,-396.8791895857715,8.09618161593958,57,-276.8825159564709,-274.94758745884144,-275.79206496340504,-277.04477338122547,-273.4487959368905,-275.62314753936664,1.3281376625917958
0.08881626129150391,0.037996046283453856,0.4524065971374512,0.22931386487362257,4,1,"{'n_neighbors': 4, 'p': 1}",-357.65400880546866,-370.24478623566216,-357.79507531865585,-354.74426419466977,-368.1393684820394,-361.71550060729913,6.2366397847440185,22,-278.4254004808667,-276.51983575215087,-275.4193557731302,-277.89931058455477,-273.07717542436706,-276.26821560301386,1.9120946926355409
0.08667364120483398,0.02924466204728189,0.5177268505096435,0.1781021493099534,4,2,"{'n_neighbors': 4, 'p': 2}",-384.42130112385587,-403.64140887498553,-380.01425260718423,-386.44023754345307,-395.4262746234067,-389.9886949545771,8.4739694860645,51,-300.9866168419223,-299.05031719822716,-300.11992352702623,-299.1592969700481,-295.5238326284688,-298.9679974331385,1.8605053776632534
0.12413649559020996,0.023132313607272897,0.7468780040740967,0.07426259076357483,5,1,"{'n_neighbors': 5, 'p': 1}",-349.1692503765496,-365.28671069400997,-351.7606720741599,-350.50776361529546,-366.3179374275782,-356.6084668375187,7.558404209863437,16,-291.04419918310595,-286.81467512528604,-289.60855106888357,-290.06793349168646,-285.51081049765367,-288.60923387332315,2.091705715862211
0.14124770164489747,0.008316473270700231,0.7962787628173829,0.07005319307943852,5,2,"{'n_neighbors': 5, 'p': 2}",-381.00713706407146,-402.8835129185494,-378.72032444959444,-382.2084356894554,-390.1673464658169,-386.9973513174975,8.828868026214318,45,-314.6535384258857,-310.55471162480814,-314.1749840681304,-314.2804935982852,-311.1304038004751,-312.9588263035169,1.7447515331534302
0.12995338439941406,0.010203953583941619,0.7794386863708496,0.0801481904373983,6,1,"{'n_neighbors': 6, 'p': 1}",-348.1144904028116,-365.36052214884324,-347.84768250289693,-347.2319235225956,-361.5973348783314,-354.0303906910957,7.811189868196712,12,-298.7470911425895,-295.74483647634776,-297.9125436919452,-298.5320954753491,-294.6162109186413,-297.1105555409746,1.6388504027592052
0.12866249084472656,0.0203571019337305,0.9901621341705322,0.07977988841051109,6,2,"{'n_neighbors': 6, 'p': 2}",-378.103406326034,-398.64656470860854,-376.3279258400927,-381.4448435689455,-390.84057551178057,-385.0726631910923,8.43470998607943,42,-325.35307493989166,-320.6299933373889,-323.7171706930846,-324.63752582894006,-322.6368113087306,-323.39491522160716,1.6554053135841502
0.12777562141418458,0.015612818362597373,0.851625394821167,0.14955121595806217,7,1,"{'n_neighbors': 7, 'p': 1}",-345.7786550143172,-362.7853253223431,-345.10046349942064,-344.5457871213375,-361.8744909783148,-352.0169443871466,8.43446982118546,7,-305.96394741089273,-302.3607452192661,-304.9627525304775,-305.9684838653612,-302.20978754748523,-304.2931433146965,1.6805512454204892
0.1336045265197754,0.012775054424587717,0.8799503803253174,0.11178449564622352,7,2,"{'n_neighbors': 7, 'p': 2}",-378.6395550921098,-397.19837131933065,-375.6314351928488,-379.3507035259063,-389.76424433040887,-384.1168618921209,8.096152653210858,40,-332.275190670689,-327.6029497572906,-331.9013424151887,-330.7373807178859,-331.1042854659968,-330.72422980541023,1.6539696546284188
0.12278456687927246,0.01283253960120269,0.7376044273376465,0.16003894704832525,8,1,"{'n_neighbors': 8, 'p': 1}",-345.66976595991196,-362.53426601784264,-344.6240005793743,-344.38893395133255,-361.3252896871379,-351.7084512391199,8.365552483086812,6,-311.6950841516758,-307.54885794154285,-310.4053176235444,-311.1276323793523,-306.5644299287411,-309.46826440497136,2.0350269202320974
0.13747034072875977,0.017166735129159144,0.9551129817962647,0.11172654201968386,8,2,"{'n_neighbors': 8, 'p': 2}",-377.59788842544316,-396.53849496002783,-374.6445973348783,-378.62523174971034,-387.90233198146,-383.061708890304,8.067698867799393,38,-338.4014223226442,-334.2734494945106,-337.13900918255024,-336.09185446961357,-336.2479542031169,-336.4307379344871,1.3555360878289826
0.14120283126831054,0.015527141964473964,0.9149882793426514,0.10102053096554657,9,1,"{'n_neighbors': 9, 'p': 1}",-346.06349206349205,-363.1452258654205,-344.6799021501223,-342.83987382515767,-359.72074159907305,-351.2898471006531,8.414727509309843,2,-316.3031584639301,-311.80725419953717,-315.8754964628031,-315.0794984196873,-310.7136254497937,-313.95580659915026,2.262121538572357
0.14224534034729003,0.010573277113539715,1.0370248794555663,0.15458178792304356,9,2,"{'n_neighbors': 9, 'p': 2}",-376.2041864596609,-395.3688641717839,-373.4003089996138,-377.99432213209735,-388.38058452426935,-382.26965325748506,8.278483179864512,35,-343.8074859425342,-338.3283283283283,-341.8478393810066,-341.0187609833344,-341.10072481959975,-341.22062789096066,1.7610083808520627
0.1376710891723633,0.020886079935235804,0.862127685546875,0.1459541004153194,10,1,"{'n_neighbors': 10, 'p': 1}",-344.9778009500638,-364.13838489166955,-344.7544959443801,-342.46902665121667,-359.25893395133255,-351.1197284777325,8.818233174686323,1,-320.1539063178935,-314.9195243474986,-318.6973234459185,-319.036692543885,-314.6620966340305,-317.4939086578453,2.260557043660705
0.12028121948242188,0.0092379789953598,0.991025733947754,0.03915294649550642,10,2,"{'n_neighbors': 10, 'p': 2}",-374.69614181438993,-395.7226856679412,-373.36259559675545,-374.6472537659329,-389.5383198146002,-381.59339933192393,9.233912750889445,33,-346.70697836099765,-342.7943222965731,-345.8037570245061,-345.55665952146455,-344.7469179074214,-345.1217270221926,1.3209578070107646
0.12432961463928223,0.00391528813555027,0.856142520904541,0.09640797314979117,11,1,"{'n_neighbors': 11, 'p': 1}",-345.29577316438633,-365.0296921245826,-344.5745180659433,-343.3225113241336,-358.64886758664284,-351.3742724531377,8.802339363689207,3,-322.53700119294973,-317.56644045390027,-321.75047005598543,-322.65886838959085,-317.9762970648493,-320.4978154314551,2.251603259824961
0.11063098907470703,0.039342002854938954,0.924432897567749,0.38937331999334995,11,2,"{'n_neighbors': 11, 'p': 2}",-374.2841027585553,-395.49237947778096,-373.30911197724646,-374.7168334562309,-388.9888549457495,-381.3582565231126,9.131706781794806,31,-349.48043746757577,-345.349779185792,-348.52247578619165,-348.20272974809205,-347.6370088112456,-347.83848619977937,1.3806357102571576
0.06518740653991699,0.02597740456695371,0.5310727596282959,0.20346126381772664,12,1,"{'n_neighbors': 12, 'p': 1}",-344.49461244351755,-367.0705403004673,-344.5249710312862,-343.2218520664349,-357.845751255311,-351.43154541940334,9.475664316929318,4,-324.877598659753,-319.97641773606404,-324.0529010486067,-324.91446517196766,-320.3294565784138,-322.8301678389611,2.21037514004706
0.04901666641235351,0.004598791727496069,0.49156908988952636,0.07968891465088349,12,2,"{'n_neighbors': 12, 'p': 2}",-374.417091491909,-396.78535704630593,-373.6814793356508,-373.13292777134035,-389.1937717265353,-381.44212547434825,9.737805421160793,32,-352.79876741693465,-348.71583480586696,-351.74515284939076,-350.59677886565083,-350.8215944421915,-350.9356256760069,1.3551327006285936
0.06565909385681153,0.010653667268225827,0.3857621669769287,0.11519808864186752,13,1,"{'n_neighbors': 13, 'p': 1}",-345.3406326034063,-367.2531572239601,-345.9894286478296,-342.5089134503966,-356.96242980657814,-351.6109123464342,9.242104033905742,5,-327.085695886339,-322.4626191860919,-326.1388256318156,-326.9408515417147,-323.13134322371906,-325.15186709393606,1.9610618209620434
0.06963076591491699,0.006938826356383879,0.5257882595062255,0.06479418787250164,13,2,"{'n_neighbors': 13, 'p': 2}",-373.7130914503178,-397.5524540342059,-374.2223014528924,-371.7077457883947,-388.09780729120246,-381.0586800034027,10.096807498645715,29,-354.8356897585194,-350.65526223725584,-353.02084289616874,-353.9550030526799,-353.13162398114025,-353.1196843851529,1.3946842248110656
0.05528049468994141,0.008870802891251155,0.4268055438995361,0.12134784190978294,14,1,"{'n_neighbors': 14, 'p': 1}",-345.97806081069893,-366.6818858930434,-347.2002648568119,-344.19540638967055,-356.95038073166694,-352.2011997363783,8.486159632743217,8,-328.66287601335836,-324.29164235434337,-327.8718374204441,-329.21900941014843,-325.1308130633054,-327.0352356523199,1.9632683500194665
0.05181117057800293,0.008347553845284803,0.5076694011688232,0.0777983598663511,14,2,"{'n_neighbors': 14, 'p': 2}",-374.5920684575533,-398.7878577221643,-375.73943883463005,-370.0428405893064,-387.0668680682007,-381.245814734371,10.40871825789685,30,-357.1718436396893,-352.28956080563796,-355.1034061095616,-355.71389052115836,-354.6625402434886,-354.98824826390717,1.5935436292769678
0.07567019462585449,0.027797129299608526,0.6225189208984375,0.25572580057114164,15,1,"{'n_neighbors': 15, 'p': 1}",-346.72754026184674,-366.5613409029467,-347.20258014677484,-344.6458169177289,-356.06695249130934,-352.24084614412135,8.16309738859992,9,-330.4732848604232,-326.56660583413,-329.2537995094915,-331.3605468976305,-327.1505918930923,-328.96096579895345,1.8515541199226517
0.06105661392211914,0.0324333667489079,0.5375889301300049,0.2632817137642159,15,2,"{'n_neighbors': 15, 'p': 2}",-374.7244737960067,-400.94563009307535,-375.78804171494784,-371.05575125531095,-387.6682734646581,-382.0364340647998,10.975954394532167,34,-359.17632552166316,-353.92430308121624,-357.226072263098,-358.67487592453125,-356.6815479983779,-357.1366249577773,1.8471979929110953
0.07276043891906739,0.03233098414032701,0.6203529834747314,0.2583255524916944,16,1,"{'n_neighbors': 16, 'p': 1}",-346.5252071023056,-367.98519870235197,-348.15302723059096,-345.2157010428737,-357.7648971610661,-353.12880624783764,8.639315577132718,10,-332.76632158686016,-329.0607673589989,-330.75645964891953,-332.7634569984358,-329.0823695759226,-330.8858750338274,1.652984668767183
0.04793767929077149,0.002883420130866945,0.46951870918273925,0.05429333964282739,16,2,"{'n_neighbors': 16, 'p': 2}",-374.9538074962345,-401.04564940331363,-376.621567207416,-371.1069597334878,-388.76221755504054,-382.4980402790985,10.995079092120589,36,-360.66203180672636,-356.0090705657426,-359.33688481258326,-360.905223480679,-358.4126281791321,-359.0651677689727,1.7762402968597764
0.048178672790527344,0.004784659883017113,0.386260461807251,0.03822168982821761,17,1,"{'n_neighbors': 17, 'p': 1}",-346.30063314863656,-368.85263789213985,-348.854951946016,-345.9138913502829,-359.38657896530566,-353.8617386604762,8.951619147385305,11,-334.28831555217033,-331.25884840770414,-332.4570197350709,-334.6355998050689,-330.9501954422925,-332.7179957884614,1.514295015374024
0.0541804313659668,0.004566058993575074,0.503286600112915,0.028623499165667487,17,2,"{'n_neighbors': 17, 'p': 2}",-375.16142904850506,-401.22905123119807,-376.91711539772336,-371.70197668870566,-390.17802467452805,-383.03751940813197,11.044503781307963,37,-362.18260155370047,-358.06138633431993,-361.2006785102084,-363.08922869304143,-359.9694244420437,-360.90066390666277,1.7579472569268335
0.05333123207092285,0.004065329805702745,0.4141385078430176,0.027482656220278116,18,1,"{'n_neighbors': 18, 'p': 1}",-347.06627917455165,-368.8543364358449,-349.78319814600235,-346.8891785760268,-360.4074546156817,-354.6000893896215,8.67557413556451,13,-336.4316969702822,-333.16767893295224,-334.28678169798326,-336.38033395773385,-332.8810404315445,-334.62950639809924,1.5247833286188022
0.07195572853088379,0.04103283151921966,0.6735635757446289,0.27858568613515455,18,2,"{'n_neighbors': 18, 'p': 2}",-376.58204920248716,-401.5461707797474,-377.78766576541784,-373.54315694605384,-391.9248100939874,-384.2767705575387,10.707496174938091,41,-363.83312573023187,-360.3873342796173,-363.10524045858034,-364.7674172347424,-360.87053666261124,-362.5927308731566,1.694711378465854
0.061547470092773435,0.027861190845275816,0.5319859981536865,0.2463476537195564,19,1,"{'n_neighbors': 19, 'p': 1}",-348.26015769350386,-369.8134204123447,-349.94726474355065,-346.683734829542,-361.7680490333598,-355.29452534246025,8.999178411584598,14,-338.4325879441804,-335.18315472351685,-336.7942989824948,-338.2896200439689,-334.7967291643163,-336.6992781716955,1.5139948499370461
0.06294832229614258,0.03401450276466962,0.7656085014343261,0.3348277391689015,19,2,"{'n_neighbors': 19, 'p': 2}",-378.0200684192233,-401.9263182286617,-378.4006586570714,-375.0513447581875,-393.59468805269256,-385.3986156231673,10.495912838615906,43,-365.097089643375,-362.13842680046776,-365.1190453684759,-366.3420351324403,-363.11886241877795,-364.36309187270734,1.5181354654984145
0.04456963539123535,0.001337246708813794,0.4011641502380371,0.02277607320327771,20,1,"{'n_neighbors': 20, 'p': 1}",-349.3854999420693,-371.5491078669911,-350.8983777520278,-347.33064889918893,-362.67110081112395,-356.3669470542802,9.279449335761072,15,-340.0324266388575,-337.12805248978884,-338.9851312206709,-340.07470743294135,-336.41213429117664,-338.52649041468703,1.5034162219833886
0.05370473861694336,0.007303081238292198,0.48994016647338867,0.036010344579073025,20,2,"{'n_neighbors': 20, 'p': 2}",-378.8807727957363,-402.911788900475,-379.24099073001156,-376.4750984936269,-394.64450753186554,-386.43063169034315,10.458491736602355,44,-367.05033023377075,-363.3067741374815,-366.3732127339088,-368.23825821215456,-365.2380148890563,-366.0413180412744,1.677964965198414
0.051996374130249025,0.004500960157487052,0.44723987579345703,0.033656238095727355,21,1,"{'n_neighbors': 21, 'p': 1}",-350.9402596399468,-372.0782671543882,-352.43186006731776,-348.1146167853004,-363.1681288969817,-357.346626508787,8.95921419917843,17,-341.3554620307032,-338.417595362933,-340.6988669750966,-341.8373211285557,-338.0802855873825,-340.0779062169342,1.5401559832194551
0.06627602577209472,0.017901046260620432,0.6698762893676757,0.1219281098904844,21,2,"{'n_neighbors': 21, 'p': 2}",-378.50889650264,-403.9052308676917,-380.11323732273905,-377.39819566296967,-395.25977487171,-387.0370670455501,10.636962227011695,46,-368.9047770784105,-365.15312970296895,-368.080612501069,-370.0424946410985,-367.1157219274942,-367.85934717020825,1.6603979282600745
0.0898775577545166,0.055228944474337016,0.7674589157104492,0.37939631383590533,22,1,"{'n_neighbors': 22, 'p': 1}",-352.1094837846663,-373.0505419155054,-352.80515643105446,-348.81046033919733,-364.16876645949645,-358.188881785984,9.061195617612503,18,-342.5485541080396,-340.1580421403573,-342.05478983099056,-343.37145877990844,-339.8186531908507,-341.5902996100293,1.3781598841056015
0.06252284049987793,0.03184787263380133,0.9020465850830078,0.5340566628103286,22,2,"{'n_neighbors': 22, 'p': 2}",-378.84166482341664,-404.1703373674177,-380.7835352364901,-378.8268882334351,-396.10889076161385,-387.74626328447465,10.45954544640807,47,-370.57479373556544,-366.7398395179746,-369.7527847854596,-371.53263136550606,-368.1574108210311,-369.35149204510736,1.7123919245603103
0.051360130310058594,0.00654025743209638,0.4635027885437012,0.025709985910210877,23,1,"{'n_neighbors': 23, 'p': 1}",-352.79372131799937,-373.83868562764155,-352.85558970225196,-350.0812685777621,-364.9633986598821,-358.90653277710743,9.07216046255383,19,-344.3088290303445,-341.824356440881,-343.5458774870719,-345.2910909993123,-341.4546325846404,-343.28495730845003,1.4576973977511274
0.048343563079833986,0.006228931723473325,0.5674255847930908,0.07087360905452694,23,2,"{'n_neighbors': 23, 'p': 2}",-379.5060172381658,-404.53239838197,-382.00962265101515,-379.1892689808051,-396.13131643911527,-388.27372473821424,10.244268857910834,48,-372.0489708217934,-368.0834640036374,-371.1387823265819,-372.9388480691582,-369.576137963693,-370.7572406369728,1.7388293147547347
0.051465749740600586,0.0023534914934582067,0.501548433303833,0.05402666167518231,24,1,"{'n_neighbors': 24, 'p': 1}",-353.4132584096088,-375.2791053566601,-353.9787900733874,-351.11191579760526,-366.0170818848976,-359.9600303044318,9.255123138829115,20,-345.70664957562065,-342.75900538802466,-344.6806239499449,-346.86739253229825,-342.77860494756965,-344.55845527869167,1.6168088123859916
0.05587425231933594,0.011133122658979071,0.7408987998962402,0.20438478288415537,24,2,"{'n_neighbors': 24, 'p': 2}",-380.3227464951917,-404.6969113273858,-382.97087195828504,-379.4331353804558,-396.1941579760525,-388.72356462747416,10.009364251610423,49,-373.56548550157873,-369.46357048366696,-372.856068835332,-374.7527241082981,-371.09125823146593,-372.3458214320683,1.8666768708965296
0.0680910587310791,0.016267100084146568,0.8021814823150635,0.25753891867681367,25,1,"{'n_neighbors': 25, 'p': 1}",-354.01403313636894,-376.6125130344109,-354.9301367323291,-352.4405144843569,-366.4550683661646,-360.8904531507261,9.299033250491421,21,-347.2995625850931,-344.0140528953391,-345.7876855338625,-347.96950234632993,-344.2530258965297,-345.8647658514309,1.5822353101428979
0.06777238845825195,0.026045740266544354,0.796293067932129,0.3443207922489857,25,2,"{'n_neighbors': 25, 'p': 2}",-380.9943691345151,-405.4994044722512,-383.67592584009265,-380.8390961761298,-397.51633835457704,-389.70502679551316,10.013084394268144,50,-374.9853909214681,-371.1531079632687,-373.693751231099,-376.08805167719134,-372.20520943166684,-373.62510224493883,1.7915395168635628
0.05942058563232422,0.027494654259249525,0.46768555641174314,0.01900884402072499,26,1,"{'n_neighbors': 26, 'p': 1}",-355.48519201803873,-377.2614413161858,-356.2721989482128,-353.5762322845174,-366.3394865852572,-361.7869102304424,8.918811457550248,23,-348.86879892506903,-345.3347271337625,-347.15147642751776,-349.1972911365328,-345.58011836376363,-347.22648239732916,1.6047535055307771
0.048969364166259764,0.009144927127487183,0.5130434036254883,0.03137069693423919,26,2,"{'n_neighbors': 26, 'p': 2}",-381.5463623967273,-406.2826573264529,-383.8927310812016,-381.8590382387022,-398.32594705410463,-390.3813472194377,10.08719164309353,52,-376.35855878138835,-372.3407401960457,-374.938689041102,-377.331523264986,-373.3081680355448,-374.8555358638134,1.8501378542691373
0.04600467681884766,0.002605664801380859,0.46138200759887693,0.034056630780301855,27,1,"{'n_neighbors': 27, 'p': 1}",-356.32091470453184,-377.99252908336445,-357.04993777091113,-354.38444701944127,-367.061130423587,-362.56179180036713,8.883127271144645,24,-350.0968202929618,-346.63962676502877,-348.6356569187228,-350.5338388617457,-346.78761154990804,-348.5387108776734,1.6180549113249274
0.10029463768005371,0.054780256510500815,1.0072642803192138,0.5926780284063851,27,2,"{'n_neighbors': 27, 'p': 2}",-382.5950900500779,-406.8948664804301,-384.791845843526,-382.2870649328355,-399.14462469421915,-391.1426984002177,10.039709203505158,53,-377.20307552997804,-373.57166705826944,-376.57577025493134,-378.5248977034505,-374.4428770059672,-376.0636575105193,1.8141213868645696
0.043602514266967776,0.001989239086851556,0.43705034255981445,0.027496374916512557,28,1,"{'n_neighbors': 28, 'p': 1}",-357.2670688713441,-379.24254762732346,-358.9110370799537,-355.08449346134745,-367.61359874193016,-363.6237491563798,8.89271266349998,25,-351.0807789875314,-347.8842350618878,-350.00906150943086,-351.9906674418797,-348.16959371663614,-349.82686734347317,1.6004934268371718
0.07209692001342774,0.0364711466827161,0.8133386135101318,0.41160878616628177,28,2,"{'n_neighbors': 28, 'p': 2}",-383.994885545459,-407.16886803383153,-385.5984605197815,-384.06827512001325,-400.449921370634,-392.2560821179439,9.686502599606715,54,-378.4757735457093,-374.9122169942106,-377.4998448194525,-379.78175200907083,-375.9492114759118,-377.32375976887096,1.7380902797979076
0.042859983444213864,0.0031342805125108525,0.42862730026245116,0.03266239241003561,29,1,"{'n_neighbors': 29, 'p': 1}",-357.8163596338779,-379.9827406421919,-359.868545970352,-355.4861509569664,-368.507380029568,-364.3322354465912,8.977800591579845,26,-352.20714627478134,-349.57357290764537,-350.9333947967213,-353.64525869560447,-349.60471183792845,-351.1928169025362,1.5655454936855304
0.04299883842468262,0.0012518330128336844,0.5139406681060791,0.018449933827757576,29,2,"{'n_neighbors': 29, 'p': 2}",-384.20337276617164,-408.14795504576534,-386.36594877532264,-384.94811603468247,-400.6374355695848,-392.8605656383054,9.735685658190619,55,-379.68671143701636,-376.1825315724861,-378.5537208656549,-380.5806841814016,-376.93929707992305,-378.38858902729646,1.642242864009682
0.04275336265563965,0.0020022281415668325,0.4326629161834717,0.013677900882748627,30,1,"{'n_neighbors': 30, 'p': 1}",-357.90980187695516,-380.6264318541691,-360.8506566241792,-356.64733874082657,-368.73529934337586,-364.95390568790117,8.892492566593107,27,-353.3253787549607,-350.58556530807334,-351.885401579669,-354.61926307861654,-350.71544136106445,-352.2262100164768,1.5508167044409051
0.043586206436157224,0.004251559955434019,0.5981769561767578,0.06786621619034003,30,2,"{'n_neighbors': 30, 'p': 2}",-384.54814042405286,-409.4730042868729,-387.20546929316333,-385.6575241405948,-401.8964233294709,-393.7561122948309,10.06548714599015,56,-380.48555661771104,-377.71562720276546,-379.84137072012055,-382.0642015719445,-378.15909564915137,-379.6531703523386,1.5828891616465242
